news_count,avg_sentiment,std_sentiment,pos_ratio,neg_ratio,ma_keyword_count,ma_keyword_ratio,max_sentiment,min_sentiment,transaction_id,window,label,announcement_date,primary_industry,deal_value_usd,transaction_type
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2194729,pre,1,2025-12-31,Unclassified,150500000.0,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2171711,pre,1,2025-10-01,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2171711,baseline,0,2025-10-01,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2181934,pre,1,2025-12-02,Human Resource and Employment Services,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2181934,baseline,0,2025-12-02,Human Resource and Employment Services,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2160938,pre,1,2025-07-28,Food Retail,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2176320,pre,1,2025-10-28,Environmental and Facilities Services,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2176320,baseline,0,2025-10-28,Environmental and Facilities Services,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2161940,pre,1,2025-07-30,Health Care Technology,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2183068,baseline,0,2025-12-09,Leisure Facilities,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2169427,pre,1,2025-09-12,Broadcasting,1000000.0,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2169427,baseline,0,2025-09-12,Broadcasting,1000000.0,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2171767,pre,1,2025-10-02,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2171767,baseline,0,2025-10-02,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2156261,pre,1,2025-07-02,Pharmaceuticals,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2156261,baseline,0,2025-07-02,Pharmaceuticals,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2163859,pre,1,2025-08-12,Managed Health Care,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2163924,pre,1,2025-08-12,Application Software,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2163924,baseline,0,2025-08-12,Application Software,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2185336,pre,1,2025-12-22,Application Software,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2185336,baseline,0,2025-12-22,Application Software,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2185705,pre,1,2025-11-20,Unclassified,4450000.0,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2185705,baseline,0,2025-11-20,Unclassified,4450000.0,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2179533,pre,1,2025-11-18,Broadcasting,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2179533,baseline,0,2025-11-18,Broadcasting,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2178536,pre,1,2025-11-12,Diversified Support Services,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2185574,pre,1,2025-12-22,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2185574,baseline,0,2025-12-22,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2176706,baseline,0,2025-10-31,Specialty Chemicals,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2158486,pre,1,2025-07-14,Unclassified,4000000.0,Acquisition of Asset or Branch
